                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.68079,                0.34743,                0.95368,                 0.9966,                0.99538,                  0.995,                0.76264,                0.75254,                0.29204,                0.97357,               0.000948,               0.000948,               0.000948
                     54,                0.65356,                0.33711,                0.93521,                0.98652,                      1,                  0.995,                0.76782,                0.73746,                0.28914,                0.95989,             0.00093857,             0.00093857,             0.00093857
                     55,                0.66957,                 0.3472,                0.94524,                0.99565,                0.99553,                  0.995,                0.75407,                0.73973,                0.28805,                 0.9684,             0.00092914,             0.00092914,             0.00092914
                     56,                0.66054,                0.34209,                0.94704,                0.95747,                      1,                 0.9909,                0.73609,                0.74135,                0.31187,                0.98253,              0.0009197,              0.0009197,              0.0009197
                     57,                0.66789,                0.34356,                0.95112,                0.98133,                0.99537,                  0.995,                0.76441,                0.73978,                0.28871,                 0.9784,             0.00091027,             0.00091027,             0.00091027
                     58,                0.66057,                 0.3394,                0.94264,                0.94163,                      1,                0.98897,                0.77103,                0.72613,                0.28492,                0.96944,             0.00090084,             0.00090084,             0.00090084
                     59,                0.65058,                0.33354,                0.93916,                0.97058,                      1,                  0.995,                 0.7567,                0.75422,                0.28926,                0.97299,             0.00089141,             0.00089141,             0.00089141
                     60,                0.66717,                0.34718,                0.94983,                0.96491,                      1,                0.99295,                0.75188,                0.73955,                0.28337,                0.97079,             0.00088198,             0.00088198,             0.00088198
                     61,                0.65061,                0.33682,                 0.9405,                0.99216,                      1,                  0.995,                0.76441,                0.74287,                0.28272,                0.97017,             0.00087255,             0.00087255,             0.00087255
                     62,                0.65146,                0.33117,                0.94622,                0.99467,                      1,                  0.995,                0.75893,                0.72954,                0.28322,                0.96852,             0.00086312,             0.00086312,             0.00086312
                     63,                0.64229,                0.33045,                0.93856,                0.99407,                0.99862,                  0.995,                0.75881,                0.76394,                0.28676,                0.99134,             0.00085368,             0.00085368,             0.00085368
                     64,                0.65172,                0.33162,                0.94316,                0.99489,                      1,                  0.995,                0.75895,                0.73084,                0.28254,                0.95777,             0.00084425,             0.00084425,             0.00084425
                     65,                0.64358,                0.32398,                0.93474,                0.99988,                0.98657,                  0.995,                0.75853,                0.74715,                0.28163,                 0.9701,             0.00083482,             0.00083482,             0.00083482
                     66,                0.63771,                0.32312,                0.93243,                 0.9864,                0.97222,                0.99295,                0.75062,                0.74643,                0.29975,                 0.9829,             0.00082539,             0.00082539,             0.00082539
                     67,                0.63578,                0.32921,                0.93347,                0.99132,                0.97222,                0.98833,                0.76176,                0.73101,                0.29037,                0.96716,             0.00081596,             0.00081596,             0.00081596
                     68,                0.64637,                0.33059,                0.93778,                0.97707,                0.97222,                0.99119,                0.75715,                0.73495,                0.28385,                0.96806,             0.00080653,             0.00080653,             0.00080653
                     69,                0.62285,                0.31754,                0.93444,                0.99375,                      1,                  0.995,                0.75819,                0.75557,                0.28053,                0.97616,              0.0007971,              0.0007971,              0.0007971
                     70,                0.63319,                0.32425,                0.93349,                0.99192,                0.97222,                0.99119,                0.75415,                 0.7367,                0.27763,                0.97196,             0.00078766,             0.00078766,             0.00078766
                     71,                0.62449,                0.31797,                0.93317,                0.99291,                0.97222,                0.99295,                0.73825,                0.74499,                 0.2763,                0.97546,             0.00077823,             0.00077823,             0.00077823
                     72,                0.63115,                0.32278,                0.93993,                 0.9928,                0.97222,                0.99119,                0.75562,                0.75212,                0.29247,                0.98567,              0.0007688,              0.0007688,              0.0007688
                     73,                0.62341,                0.32293,                0.92904,                0.99308,                0.99643,                  0.995,                 0.7604,                 0.7682,                0.29202,                0.98804,             0.00075937,             0.00075937,             0.00075937
                     74,                0.61493,                0.31663,                0.93191,                0.96938,                0.97222,                0.99119,                0.76834,                0.73797,                0.28746,                0.97435,             0.00074994,             0.00074994,             0.00074994
                     75,                0.62031,                 0.3192,                0.93465,                0.97773,                0.99748,                  0.995,                0.75961,                0.74793,                0.27374,                0.97967,             0.00074051,             0.00074051,             0.00074051
                     76,                0.61791,                0.31513,                0.92515,                0.95429,                0.99387,                0.99295,                0.75821,                0.73897,                0.28141,                0.96979,             0.00073108,             0.00073108,             0.00073108
                     77,                0.60816,                0.30883,                0.92063,                0.97127,                0.97222,                0.98167,                0.76021,                0.74781,                 0.2849,                0.96903,             0.00072164,             0.00072164,             0.00072164
                     78,                0.61238,                0.31216,                0.92909,                 0.9827,                 0.9958,                  0.995,                0.74605,                 0.7499,                0.27952,                0.98407,             0.00071221,             0.00071221,             0.00071221
                     79,                0.60686,                0.31091,                0.92685,                0.98439,                0.99679,                  0.995,                0.75063,                0.73304,                0.27235,                0.98745,             0.00070278,             0.00070278,             0.00070278
                     80,                0.60533,                0.31071,                0.92608,                0.99685,                0.99529,                  0.995,                0.74981,                0.74757,                0.28175,                0.98031,             0.00069335,             0.00069335,             0.00069335
                     81,                0.59909,                0.30638,                0.92402,                0.99471,                0.97222,                 0.9721,                0.72943,                0.75631,                0.28196,                0.98595,             0.00068392,             0.00068392,             0.00068392
                     82,                0.60323,                0.30463,                0.92273,                0.99592,                0.98417,                  0.995,                0.73765,                0.74044,                0.27029,                0.98321,             0.00067449,             0.00067449,             0.00067449
                     83,                 0.5981,                0.30247,                0.92067,                0.99475,                0.99973,                  0.995,                0.75937,                0.74388,                0.27401,                0.97315,             0.00066506,             0.00066506,             0.00066506
                     84,                0.59247,                0.30327,                0.92017,                 0.9962,                      1,                  0.995,                0.74919,                0.76173,                0.28121,                0.98871,             0.00065563,             0.00065563,             0.00065563
                     85,                0.57799,                0.29462,                0.90917,                0.98601,                  0.997,                  0.995,                0.74683,                0.73951,                0.27059,                0.98784,             0.00064619,             0.00064619,             0.00064619
                     86,                0.59946,                0.30541,                0.91683,                0.98845,                      1,                  0.995,                0.76031,                0.74963,                0.27692,                0.97964,             0.00063676,             0.00063676,             0.00063676
                     87,                0.59618,                0.30404,                0.91999,                0.98505,                 0.9885,                  0.995,                0.74884,                0.74475,                0.26984,                0.98903,             0.00062733,             0.00062733,             0.00062733
                     88,                0.59291,                0.30219,                0.92073,                0.98976,                0.98671,                  0.995,                0.74794,                0.74722,                0.27668,                0.98924,              0.0006179,              0.0006179,              0.0006179
                     89,                0.58876,                0.29997,                0.91747,                0.99504,                      1,                  0.995,                0.75267,                0.74205,                0.27108,                0.98684,             0.00060847,             0.00060847,             0.00060847
                     90,                0.58953,                0.29989,                0.92349,                 0.9929,                0.99457,                  0.995,                0.75999,                0.74474,                0.26313,                0.99037,             0.00059904,             0.00059904,             0.00059904
                     91,                0.57485,                0.28955,                 0.9113,                0.98311,                0.99654,                  0.995,                0.75236,                0.75948,                0.27976,                0.99765,             0.00058961,             0.00058961,             0.00058961
                     92,                0.58071,                0.29462,                0.91591,                0.99459,                      1,                  0.995,                 0.7492,                0.75536,                0.27072,                 1.0017,             0.00058017,             0.00058017,             0.00058017
                     93,                0.57674,                0.29646,                0.91371,                0.99291,                0.97222,                0.99295,                0.74739,                0.75781,                 0.2689,                0.99586,             0.00057074,             0.00057074,             0.00057074
                     94,                0.57861,                0.29251,                0.91516,                0.94567,                0.97624,                0.99119,                0.74034,                0.74881,                0.27019,                0.99119,             0.00056131,             0.00056131,             0.00056131
                     95,                0.56762,                0.28746,                0.90843,                 0.9963,                      1,                  0.995,                0.75536,                0.75134,                0.26429,                0.98351,             0.00055188,             0.00055188,             0.00055188
                     96,                0.55902,                0.28331,                0.90766,                0.99867,                0.99402,                  0.995,                0.74487,                 0.7466,                0.26833,                0.98426,             0.00054245,             0.00054245,             0.00054245
                     97,                0.57246,                0.29127,                0.91071,                0.96985,                      1,                0.99295,                0.75429,                0.76455,                0.27447,                 1.0026,             0.00053302,             0.00053302,             0.00053302
                     98,                0.56872,                0.28954,                0.90776,                0.99577,                      1,                  0.995,                0.76615,                0.75144,                   0.27,                0.99119,             0.00052359,             0.00052359,             0.00052359
                     99,                0.56533,                0.28557,                0.91501,                0.99062,                0.97005,                0.99295,                0.76037,                0.75296,                0.26938,                0.98478,             0.00051415,             0.00051415,             0.00051415
